Start Time (UTC),Stop Time (UTC),Duration (sec),Destination IP,External ID,Protected Object,Protocol,Bandwidth (bps)
2024-11-14 22:29:32,,0,69.158.192.62,10471512,SOC-Cove-01,OTHER,144000000
2024-11-14 22:38:45,,127,142.245.193.37,10471515,SOC-BELLQ9-01,TCP,11460000
2024-11-14 22:38:45,,365,142.245.193.37,10471515,SOC-BELLQ9-01,OTHER,11460000
2024-11-14 22:56:31,,379,69.158.192.62,10471521,SOC-Cove-01,OTHER,116490000
2024-11-15 00:22:45,,189,207.236.176.21,10471535,SOC-DNS-BI-Reverse_Zone,UDP,12600000
2024-11-15 00:22:45,,1325,207.164.234.36,10471536,SOC-DNS-BI-Reverse_Zone,UDP,12420000
2024-11-15 00:56:45,,486,207.236.176.21,10471539,SOC-DNS-BI-Reverse_Zone,UDP,12260000
2024-11-15 00:56:45,,969,207.236.176.21,10471539,SOC-DNS-BI-Reverse_Zone,OTHER,13860000
2024-11-15 01:05:45,,966,207.164.234.36,10471543,SOC-DNS-BI-Reverse_Zone,UDP,13640000
2024-11-15 00:56:45,,3005,207.164.227.101,10471546,SOC-Maskatel-01,OTHER,66420000
2024-11-15 03:46:45,,365,142.113.120.49,10471572,SOC-CrownIT-02,OTHER,835070000
2024-11-15 04:16:52,,358,69.158.192.29,10471576,SOC-Cove-01,OTHER,116500000
2024-11-15 14:23:45,,69,24.212.2.13,10471696,SOC-Cablevision-03,UDP,247270000
2024-11-15 14:23:45,,425,24.212.2.13,10471696,SOC-Cablevision-03,OTHER,247270000
2024-11-15 15:24:45,,188,209.226.40.154,10471710,BBMM-LSY-02,OTHER,336450000
2024-11-15 15:24:45,,605,70.25.238.2,10471711,BBMM-GOO-BB-13,OTHER,114560000
2024-11-15 16:27:12,,278,184.150.98.230,10471721,SOC-Cove-01,UDP,71450000
2024-11-15 19:58:45,,485,174.90.71.122,10471742,BBMM-GOO-BB-13,OTHER,117930000
2024-11-15 20:07:45,,67,74.200.30.4,10471746,SOC-BELLQ9-01,TCP,15110000
2024-11-15 20:07:45,,305,74.200.30.4,10471746,SOC-BELLQ9-01,OTHER,15110000
2024-11-15 20:22:45,,305,142.113.116.136,10471748,SOC-CrownIT-02,OTHER,578120000
2024-11-15 22:29:45,,1985,142.113.116.136,10471773,SOC-CrownIT-02,OTHER,521840000
2024-11-16 04:03:45,,305,142.160.101.91,10471856,SOC-CrownITtoBX-01,OTHER,14520000
2024-11-16 16:09:45,,545,142.160.101.91,10471908,SOC-CrownITtoBX-01,OTHER,21960000
2024-11-16 18:24:45,,485,142.160.101.91,10471923,SOC-CrownITtoBX-01,OTHER,17270000
2024-11-16 19:20:45,,365,207.164.160.84,10471937,BBMM-MGPI-01,OTHER,202940000
2024-11-16 20:07:45,,1085,142.160.101.91,10471939,SOC-CrownITtoBX-01,OTHER,37290000
2024-11-16 20:45:45,,905,142.160.101.91,10471944,SOC-CrownITtoBX-01,OTHER,20270000
2024-11-17 00:07:45,,1385,142.160.101.91,10471979,SOC-CrownITtoBX-01,OTHER,82540000
2024-11-17 02:24:29,,0,69.158.192.29,10472007,SOC-Cove-01,OTHER,138640000
2024-11-17 02:26:44,,0,67.69.69.242,10472009,SOC_IAAS_W0569_Consumer_CGNATv4,OTHER,1200000000
2024-11-17 02:26:44,,366,67.69.69.242,10472009,SOC_IAAS_W0569_Consumer_CGNATv4,UDP,11020000000
2024-11-17 06:31:28,,0,69.158.192.62,10472041,SOC-Cove-01,TCP,13040000
2024-11-17 06:31:28,,322,69.158.192.62,10472041,SOC-Cove-01,OTHER,13040000
2024-11-17 15:02:45,,69,162.247.246.62,10472080,SOC-BELLQ9-01,TCP,12060000
